w1	w2	grid#	st/gl#	heur	m_f(B)	exp	time(s)	dist
0	0	0	0	1	115968	1897984	0.494	128.758
0	0	0	1	1	86144	1632768	0.419	122.466
0	0	0	2	1	88704	915968	0.261	70.765
0	0	0	3	1	95488	1434112	0.372	132.987
0	0	0	4	1	92416	1633792	0.441	119.784
0	0	0	5	1	114048	1009664	0.279	94.562
0	0	0	6	1	86656	1658368	0.441	123.858
0	0	0	7	1	88192	1717760	0.484	128.823
0	0	0	8	1	55040	751616	0.212	95.070
0	0	0	9	1	73344	1692672	0.461	125.157
0	0	1	0	1	63488	757248	0.192	77.974
0	0	1	1	1	76672	831488	0.221	86.792
0	0	1	2	1	108672	1525760	0.408	104.383
0	0	1	3	1	103424	1964544	0.518	130.937
0	0	1	4	1	95360	1961472	0.525	148.736
0	0	1	5	1	104320	976384	0.253	90.011
0	0	1	6	1	96128	2006016	0.538	144.866
0	0	1	7	1	106752	1707520	0.456	112.649
0	0	1	8	1	106368	1435648	0.379	93.888
0	0	1	9	1	73216	1199616	0.331	86.357
0	0	2	0	1	97920	1110016	0.289	114.376
0	0	2	1	1	85632	1267200	0.323	123.358
0	0	2	2	1	111616	1346560	0.344	133.767
0	0	2	3	1	99200	1975808	0.517	152.546
0	0	2	4	1	94080	846336	0.221	75.985
0	0	2	5	1	104960	1918464	0.531	116.574
0	0	2	6	1	120192	1642496	0.475	140.119
0	0	2	7	1	101888	1893376	0.512	134.111
0	0	2	8	1	90240	1225728	0.333	102.021
0	0	2	9	1	88960	498688	0.121	70.520
0	0	3	0	1	98688	1669120	0.435	101.741
0	0	3	1	1	66432	1155584	0.313	90.158
0	0	3	2	1	75008	1093632	0.291	86.314
0	0	3	3	1	60160	988672	0.251	78.479
0	0	3	4	1	90368	1402880	0.439	94.767
0	0	3	5	1	89472	1532416	0.409	93.163
0	0	3	6	1	73984	1223168	0.332	101.237
0	0	3	7	1	88832	1900544	0.512	126.844
0	0	3	8	1	63872	1004544	0.265	81.916
0	0	3	9	1	68096	1067008	0.286	86.546
0	0	4	0	1	87936	1310208	0.362	89.011
0	0	4	1	1	52608	1093632	0.273	110.372
0	0	4	2	1	92544	1155072	0.315	88.919
0	0	4	3	1	98048	1890816	0.496	122.605
0	0	4	4	1	94336	1836544	0.534	120.638
0	0	4	5	1	94464	1567232	0.427	132.172
0	0	4	6	1	104832	1862144	0.488	129.250
0	0	4	7	1	109056	1633280	0.433	126.416
0	0	4	8	1	115456	975872	0.290	70.340
0	0	4	9	1	102144	943616	0.258	63.158
