w1	w2	grid#	st/gl#	heur	m_f(B)	exp	time(s)	dist
0	0	0	0	1	115968	1897984	1.743	128.758
0	0	0	1	1	86144	1632768	1.416	122.466
0	0	0	2	1	88704	915968	0.856	70.765
0	0	0	3	1	95488	1434112	1.148	132.987
0	0	0	4	1	92416	1633792	1.328	119.784
0	0	0	5	1	114048	1009664	0.835	94.562
0	0	0	6	1	86656	1658368	1.376	123.858
0	0	0	7	1	88192	1717760	1.310	128.823
0	0	0	8	1	55040	751616	0.553	95.070
0	0	0	9	1	73344	1692672	1.380	125.157
0	0	1	0	1	63488	757248	0.564	77.974
0	0	1	1	1	76672	831488	0.623	86.792
0	0	1	2	1	108672	1525760	1.182	104.383
0	0	1	3	1	103424	1965056	1.542	130.937
0	0	1	4	1	95360	1961472	1.541	148.736
0	0	1	5	1	104320	976384	0.766	90.011
0	0	1	6	1	96128	2006016	1.627	144.866
0	0	1	7	1	106752	1707520	1.299	112.649
0	0	1	8	1	106368	1435648	1.109	93.888
0	0	1	9	1	73216	1199616	1.009	86.357
0	0	2	0	1	97920	1110016	0.883	114.376
0	0	2	1	1	85632	1267200	0.959	123.358
0	0	2	2	1	111616	1346560	1.005	133.767
0	0	2	3	1	99200	1975808	1.537	152.546
0	0	2	4	1	94080	846336	0.658	75.985
0	0	2	5	1	104960	1918464	1.547	116.574
0	0	2	6	1	120192	1642496	1.264	140.119
0	0	2	7	1	101888	1893376	1.483	134.111
0	0	2	8	1	90240	1225728	0.962	102.021
0	0	2	9	1	88960	498688	0.361	70.520
0	0	3	0	1	98688	1669120	1.370	101.741
0	0	3	1	1	66432	1155584	0.899	90.158
0	0	3	2	1	75008	1093632	0.892	86.314
0	0	3	3	1	60160	988672	0.785	78.479
0	0	3	4	1	90368	1402880	1.143	94.767
0	0	3	5	1	89472	1532416	1.208	93.163
0	0	3	6	1	73984	1223168	0.948	101.237
0	0	3	7	1	88832	1900544	1.556	126.844
0	0	3	8	1	63872	1004544	0.767	81.916
0	0	3	9	1	68096	1067008	0.841	86.546
0	0	4	0	1	87936	1310208	1.028	89.011
0	0	4	1	1	52608	1093632	0.809	110.372
0	0	4	2	1	92544	1155072	0.896	88.919
0	0	4	3	1	98048	1890816	1.494	122.605
0	0	4	4	1	94336	1836544	1.492	120.638
0	0	4	5	1	94464	1567232	1.232	132.172
0	0	4	6	1	104832	1862144	1.502	129.250
0	0	4	7	1	109056	1633280	1.373	126.416
0	0	4	8	1	115456	975872	0.762	70.340
0	0	4	9	1	102144	943616	0.777	63.158
0	1	0	0	1	359808	768512	0.674	129.922
0	1	0	1	1	211712	809472	0.593	126.879
0	1	0	2	1	292224	725248	0.670	91.502
0	1	0	3	1	412416	1139968	0.976	139.839
0	1	0	4	1	206208	771072	0.606	120.956
0	1	0	5	1	308992	595712	0.514	113.252
0	1	0	6	1	288000	781312	0.672	124.298
0	1	0	7	1	364416	920832	0.819	128.823
0	1	0	8	1	181376	350720	0.296	95.656
0	1	0	9	1	291456	1009408	0.838	131.148
0	1	1	0	1	127104	197632	0.176	78.145
0	1	1	1	1	177152	502528	0.411	87.792
0	1	1	2	1	141440	816384	0.648	107.432
0	1	1	3	1	319360	1655552	1.370	132.290
0	1	1	4	1	310272	953600	0.742	150.401
0	1	1	5	1	224896	687872	0.499	90.011
0	1	1	6	1	345984	1881344	1.619	149.722
0	1	1	7	1	259200	879616	0.751	113.151
0	1	1	8	1	145024	652288	0.514	105.377
0	1	1	9	1	237312	473600	0.402	86.357
0	1	2	0	1	283520	774144	0.625	146.663
0	1	2	1	1	266368	798720	0.639	150.858
0	1	2	2	1	211584	860672	0.650	165.554
0	1	2	3	1	637440	1424128	1.215	155.132
0	1	2	4	1	139904	208896	0.199	76.323
0	1	2	5	1	312704	1086976	0.955	117.919
0	1	2	6	1	401024	1134336	0.930	145.987
0	1	2	7	1	542464	1299200	1.112	136.620
0	1	2	8	1	275712	867072	0.656	107.195
0	1	2	9	1	118016	353536	0.269	72.521
0	1	3	0	1	297472	987648	0.846	104.869
0	1	3	1	1	127104	551936	0.468	90.158
0	1	3	2	1	213120	439808	0.367	86.314
0	1	3	3	1	176384	532736	0.450	80.365
0	1	3	4	1	184704	658432	0.532	97.255
0	1	3	5	1	183424	747520	0.628	97.571
0	1	3	6	1	229376	621824	0.479	103.801
0	1	3	7	1	286080	946688	0.784	127.187
0	1	3	8	1	171904	533248	0.413	81.916
0	1	3	9	1	103168	425472	0.335	86.546
0	1	4	0	1	264960	652544	0.588	89.389
0	1	4	1	1	191360	633600	0.497	113.413
0	1	4	2	1	268544	958208	0.796	89.324
0	1	4	3	1	201344	944384	0.738	123.120
0	1	4	4	1	229504	775168	0.631	120.981
0	1	4	5	1	151552	679168	0.579	132.515
0	1	4	6	1	239616	925952	0.758	132.114
0	1	4	7	1	206848	820224	0.655	135.265
0	1	4	8	1	156416	512256	0.397	70.349
0	1	4	9	1	127488	402944	0.318	68.894
0	2	0	0	1	394624	287488	0.282	153.180
0	2	0	1	1	569600	388352	0.369	131.844
0	2	0	2	1	149632	84224	0.115	103.416
0	2	0	3	1	299008	249600	0.230	190.037
0	2	0	4	1	507648	311552	0.284	127.514
0	2	0	5	1	365440	249600	0.252	124.082
0	2	0	6	1	474368	357632	0.346	137.242
0	2	0	7	1	1140480	733952	0.759	133.967
0	2	0	8	1	192384	131840	0.136	100.731
0	2	0	9	1	745088	565504	0.572	178.332
0	2	1	0	1	285184	133888	0.141	99.972
0	2	1	1	1	547328	337664	0.402	120.887
0	2	1	2	1	1080960	952064	1.014	139.021
0	2	1	3	1	622720	562432	0.570	139.419
0	2	1	4	1	699648	622848	0.632	153.851
0	2	1	5	1	463104	317184	0.320	101.332
0	2	1	6	1	630272	660224	0.627	156.163
0	2	1	7	1	660096	429824	0.467	131.467
0	2	1	8	1	228352	175872	0.170	106.379
0	2	1	9	1	512896	284928	0.296	90.453
0	2	2	0	1	285440	269056	0.234	150.551
0	2	2	1	1	447872	391424	0.371	155.113
0	2	2	2	1	647424	414720	0.394	171.643
0	2	2	3	1	994176	869120	0.900	178.684
0	2	2	4	1	161792	89344	0.093	81.693
0	2	2	5	1	200704	197888	0.194	124.373
0	2	2	6	1	1182208	793856	0.793	184.395
0	2	2	7	1	911872	707328	0.765	157.632
0	2	2	8	1	439680	296192	0.263	129.994
0	2	2	9	1	199168	199168	0.170	123.336
0	2	3	0	1	170880	95488	0.103	113.104
0	2	3	1	1	128896	72704	0.065	90.176
0	2	3	2	1	159616	85504	0.098	96.932
0	2	3	3	1	140416	83712	0.079	80.638
0	2	3	4	1	401536	230144	0.231	99.497
0	2	3	5	1	178944	83712	0.097	106.040
0	2	3	6	1	146560	121600	0.188	109.334
0	2	3	7	1	223104	260608	0.342	152.495
0	2	3	8	1	141696	87808	0.095	85.966
0	2	3	9	1	176000	89344	0.085	87.539
0	2	4	0	1	436992	271104	0.327	97.164
0	2	4	1	1	542208	459008	0.529	116.236
0	2	4	2	1	265600	147712	0.167	120.539
0	2	4	3	1	572800	358656	0.456	125.280
0	2	4	4	1	219648	257792	0.250	136.715
0	2	4	5	1	364800	298240	0.283	132.688
0	2	4	6	1	514944	385280	0.465	133.295
0	2	4	7	1	496768	365312	0.360	139.321
0	2	4	8	1	144512	131840	0.135	96.196
0	2	4	9	1	205184	112896	0.137	69.722
1	0	0	0	1	139520	1747456	1.462	128.758
1	0	0	1	1	118016	1500160	1.265	122.466
1	0	0	2	1	117376	664576	0.564	70.774
1	0	0	3	1	111360	1243648	1.044	132.996
1	0	0	4	1	119680	1521152	1.363	119.784
1	0	0	5	1	121088	780288	0.698	94.562
1	0	0	6	1	113792	1547264	1.280	123.858
1	0	0	7	1	115712	1613312	1.347	128.823
1	0	0	8	1	68224	689152	0.547	95.070
1	0	0	9	1	97536	1550336	1.273	125.166
1	0	1	0	1	75008	614400	0.498	77.974
1	0	1	1	1	78592	646144	0.535	86.792
1	0	1	2	1	149760	1319424	1.080	104.713
1	0	1	3	1	133760	1959936	1.573	130.937
1	0	1	4	1	142336	1910272	1.545	148.736
1	0	1	5	1	93440	699392	0.582	90.011
1	0	1	6	1	128512	2004480	1.636	144.866
1	0	1	7	1	138880	1582080	1.314	112.649
1	0	1	8	1	138240	1178624	0.962	93.888
1	0	1	9	1	88448	991744	0.777	86.366
1	0	2	0	1	122752	839680	0.651	114.376
1	0	2	1	1	108800	1025536	0.833	123.367
1	0	2	2	1	119936	1124864	0.826	133.767
1	0	2	3	1	107648	1892352	1.593	152.555
1	0	2	4	1	83584	580608	0.452	75.994
1	0	2	5	1	123008	1805312	1.523	116.574
1	0	2	6	1	148352	1403904	1.077	140.119
1	0	2	7	1	115456	1784832	1.458	134.120
1	0	2	8	1	111104	963584	0.780	102.039
1	0	2	9	1	81408	348160	0.269	70.528
1	0	3	0	1	113792	1492992	1.237	104.376
1	0	3	1	1	81920	1033728	0.845	90.158
1	0	3	2	1	87040	919040	0.757	86.314
1	0	3	3	1	70528	867328	0.751	78.479
1	0	3	4	1	114432	1206272	0.983	94.767
1	0	3	5	1	129664	1232384	1.055	93.172
1	0	3	6	1	113792	1088512	0.870	101.255
1	0	3	7	1	127872	1761792	1.525	126.844
1	0	3	8	1	70016	890368	0.715	81.925
1	0	3	9	1	81536	893440	0.701	86.546
1	0	4	0	1	101632	1159680	0.982	89.011
1	0	4	1	1	67200	954368	0.748	110.372
1	0	4	2	1	122624	929792	0.786	88.928
1	0	4	3	1	126208	1699328	1.372	122.614
1	0	4	4	1	111616	1630720	1.327	120.718
1	0	4	5	1	103808	1312768	1.104	132.181
1	0	4	6	1	131456	1662464	1.318	129.250
1	0	4	7	1	135552	1436672	1.116	126.425
1	0	4	8	1	116864	701952	0.562	70.340
1	0	4	9	1	109056	698880	0.582	63.340
1	1	0	0	1	185088	555776	0.467	135.050
1	1	0	1	1	144512	702336	0.550	127.536
1	1	0	2	1	207232	464384	0.428	95.524
1	1	0	3	1	246016	955392	0.778	170.405
1	1	0	4	1	134656	611584	0.471	122.991
1	1	0	5	1	183936	416000	0.356	117.786
1	1	0	6	1	141952	570368	0.463	124.875
1	1	0	7	1	161024	609536	0.592	136.786
1	1	0	8	1	78464	175616	0.163	99.619
1	1	0	9	1	151424	602624	0.549	133.313
1	1	1	0	1	83200	86528	0.090	81.164
1	1	1	1	1	129024	410624	0.353	88.948
1	1	1	2	1	149248	719872	0.720	108.527
1	1	1	3	1	250496	1484288	1.318	142.820
1	1	1	4	1	117632	751872	0.520	153.928
1	1	1	5	1	94208	552704	0.396	116.901
1	1	1	6	1	262912	1634560	1.346	157.347
1	1	1	7	1	191232	701952	0.564	121.923
1	1	1	8	1	82048	605568	0.460	106.206
1	1	1	9	1	143232	246784	0.224	87.935
1	1	2	0	1	129280	687104	0.487	153.708
1	1	2	1	1	121728	749568	0.552	162.393
1	1	2	2	1	131200	813824	0.588	173.589
1	1	2	3	1	277120	980736	0.780	170.236
1	1	2	4	1	88960	80384	0.096	81.693
1	1	2	5	1	148224	817664	0.766	126.029
1	1	2	6	1	145024	902912	0.681	184.381
1	1	2	7	1	237312	913408	0.693	152.322
1	1	2	8	1	133760	859392	0.686	137.472
1	1	2	9	1	98560	329728	0.251	71.780
1	1	3	0	1	147200	616960	0.579	107.463
1	1	3	1	1	87552	513792	0.409	90.987
1	1	3	2	1	116864	299008	0.256	91.512
1	1	3	3	1	92800	403200	0.311	79.937
1	1	3	4	1	133632	547840	0.446	101.663
1	1	3	5	1	132096	548736	0.555	102.892
1	1	3	6	1	133376	392960	0.304	105.645
1	1	3	7	1	163840	761728	0.606	134.440
1	1	3	8	1	89984	407808	0.333	88.759
1	1	3	9	1	73472	412032	0.347	86.546
1	1	4	0	1	115072	413184	0.322	91.011
1	1	4	1	1	69760	469376	0.340	112.850
1	1	4	2	1	139008	774656	0.595	89.333
1	1	4	3	1	103424	842240	0.692	126.071
1	1	4	4	1	137088	570368	0.450	128.223
1	1	4	5	1	88192	640768	0.517	133.838
1	1	4	6	1	126720	824832	0.679	137.728
1	1	4	7	1	110976	724992	0.542	143.950
1	1	4	8	1	110976	444288	0.357	70.349
1	1	4	9	1	88960	293120	0.247	69.731
1	2	0	0	1	117376	84480	0.079	170.838
1	2	0	1	1	296320	220416	0.199	171.958
1	2	0	2	1	131968	69888	0.072	106.202
1	2	0	3	1	170496	178688	0.174	194.408
1	2	0	4	1	155904	128512	0.112	158.734
1	2	0	5	1	137600	82176	0.073	143.131
1	2	0	6	1	166784	122880	0.128	160.285
1	2	0	7	1	207488	177664	0.188	183.911
1	2	0	8	1	107776	58368	0.066	100.895
1	2	0	9	1	224000	165632	0.176	172.671
1	2	1	0	1	193408	80896	0.098	103.122
1	2	1	1	1	93696	54528	0.047	120.940
1	2	1	2	1	199168	151808	0.141	171.807
1	2	1	3	1	254592	199424	0.182	161.097
1	2	1	4	1	164736	106368	0.093	161.480
1	2	1	5	1	95488	66304	0.057	129.329
1	2	1	6	1	207360	124416	0.132	168.291
1	2	1	7	1	377984	195328	0.192	156.450
1	2	1	8	1	75648	54528	0.052	107.198
1	2	1	9	1	110720	72448	0.060	123.449
1	2	2	0	1	321280	284160	0.273	157.350
1	2	2	1	1	245504	189440	0.174	158.220
1	2	2	2	1	145024	115200	0.108	175.225
1	2	2	3	1	193920	147712	0.118	193.573
1	2	2	4	1	147328	66560	0.078	83.366
1	2	2	5	1	180480	126720	0.126	136.369
1	2	2	6	1	127104	114432	0.093	191.167
1	2	2	7	1	166144	126720	0.104	173.504
1	2	2	8	1	146176	119040	0.103	169.656
1	2	2	9	1	155904	124160	0.167	139.178
1	2	3	0	1	152448	66560	0.065	114.527
1	2	3	1	1	86656	30592	0.052	96.286
1	2	3	2	1	121600	58368	0.068	99.253
1	2	3	3	1	96000	39936	0.048	82.372
1	2	3	4	1	333056	184064	0.166	102.811
1	2	3	5	1	146432	61824	0.070	106.956
1	2	3	6	1	144768	73216	0.089	120.406
1	2	3	7	1	107264	62848	0.058	147.409
1	2	3	8	1	77696	35584	0.037	88.502
1	2	3	9	1	76288	31104	0.046	87.746
1	2	4	0	1	134656	46848	0.050	96.737
1	2	4	1	1	124928	109568	0.109	119.881
1	2	4	2	1	145920	76160	0.075	121.842
1	2	4	3	1	178816	97664	0.102	140.126
1	2	4	4	1	264704	223488	0.230	131.538
1	2	4	5	1	121856	80128	0.077	139.413
1	2	4	6	1	162048	123136	0.143	140.647
1	2	4	7	1	138112	87040	0.077	155.027
1	2	4	8	1	77440	40704	0.058	95.368
1	2	4	9	1	92544	32128	0.036	72.129
2	0	0	0	1	206208	966656	0.811	128.767
2	0	0	1	1	249728	688640	0.583	122.493
2	0	0	2	1	188672	235008	0.203	71.586
2	0	0	3	1	192768	865280	0.718	136.829
2	0	0	4	1	224896	756224	0.639	124.062
2	0	0	5	1	174976	329216	0.311	94.571
2	0	0	6	1	266496	849920	0.719	125.730
2	0	0	7	1	262528	623616	0.563	128.832
2	0	0	8	1	135296	305664	0.236	95.079
2	0	0	9	1	210816	661504	0.648	129.631
2	0	1	0	1	128896	212480	0.168	79.914
2	0	1	1	1	105088	308224	0.271	86.801
2	0	1	2	1	184832	1009664	0.887	136.203
2	0	1	3	1	345600	1744384	1.550	130.945
2	0	1	4	1	145664	1000960	0.801	149.739
2	0	1	5	1	102528	404480	0.317	90.020
2	0	1	6	1	344064	1932288	1.714	148.722
2	0	1	7	1	295552	778752	0.663	112.667
2	0	1	8	1	131328	523264	0.421	93.898
2	0	1	9	1	183936	445952	0.393	87.350
2	0	2	0	1	125440	484352	0.383	115.335
2	0	2	1	1	171904	747520	0.636	124.213
2	0	2	2	1	175360	778240	0.621	135.345
2	0	2	3	1	250880	1347584	1.126	152.719
2	0	2	4	1	108544	179712	0.141	76.539
2	0	2	5	1	230144	1035776	0.871	117.275
2	0	2	6	1	188160	736768	0.629	140.552
2	0	2	7	1	261120	1173504	1.031	136.585
2	0	2	8	1	209664	578560	0.483	107.108
2	0	2	9	1	112768	298496	0.217	92.232
2	0	3	0	1	282112	678912	0.595	105.543
2	0	3	1	1	142336	519168	0.443	90.167
2	0	3	2	1	176000	465408	0.380	90.412
2	0	3	3	1	130944	442880	0.373	78.488
2	0	3	4	1	253696	526336	0.424	98.005
2	0	3	5	1	208256	336896	0.308	95.086
2	0	3	6	1	129280	582656	0.522	104.952
2	0	3	7	1	334848	1107968	0.933	127.406
2	0	3	8	1	126336	470016	0.387	82.942
2	0	3	9	1	109568	431616	0.345	86.555
2	0	4	0	1	145024	568320	0.482	92.518
2	0	4	1	1	103808	618496	0.514	110.416
2	0	4	2	1	197888	357888	0.286	92.500
2	0	4	3	1	262272	1147904	0.957	124.514
2	0	4	4	1	254848	658944	0.565	122.205
2	0	4	5	1	120832	749056	0.612	132.518
2	0	4	6	1	171520	964608	0.790	129.259
2	0	4	7	1	219136	954368	0.845	126.625
2	0	4	8	1	141568	388608	0.355	70.358
2	0	4	9	1	147584	254976	0.214	66.234
2	1	0	0	1	161408	352000	0.310	133.545
2	1	0	1	1	199808	503680	0.403	126.055
2	1	0	2	1	198912	234496	0.229	71.802
2	1	0	3	1	214016	864640	0.743	136.993
2	1	0	4	1	181248	425344	0.343	124.925
2	1	0	5	1	157568	284672	0.244	123.853
2	1	0	6	1	204928	486912	0.407	128.509
2	1	0	7	1	188160	302336	0.257	130.246
2	1	0	8	1	95104	150784	0.115	95.664
2	1	0	9	1	164608	310272	0.266	136.668
2	1	1	0	1	80256	72960	0.070	85.193
2	1	1	1	1	96768	276224	0.213	88.493
2	1	1	2	1	191744	918528	0.754	166.480
2	1	1	3	1	366464	1214976	1.039	147.579
