grid#	st/gl#	heur	m_f(B)	exp	time(s)	dist
0	0	1	85888	1728384	0.238	128.758
0	0	2	37504	19328	0.004	165.313
0	0	3	71296	1940736	0.279	128.758
0	0	4	37120	15872	0.012	155.752
0	0	5	64512	97152	0.016	157.696
0	1	1	53248	1442688	0.214	122.466
0	1	2	40192	20608	0.004	168.177
0	1	3	48768	1626752	0.226	122.466
0	1	4	37120	18048	0.004	170.973
0	1	5	53248	41984	0.007	171.129
0	2	1	75264	627072	0.093	70.774
0	2	2	37120	17664	0.004	133.964
0	2	3	56960	1032320	0.149	70.765
0	2	4	32768	12672	0.003	136.152
0	2	5	64256	55040	0.009	130.711
0	3	1	58880	1200640	0.188	132.996
0	3	2	47616	16768	0.004	205.925
0	3	3	50560	1481984	0.204	132.987
0	3	4	46592	15744	0.004	203.873
0	3	5	93952	132608	0.021	180.343
0	4	1	56192	1468544	0.215	121.100
0	4	2	40448	22144	0.004	172.005
0	4	3	49152	1629440	0.236	119.784
0	4	4	39040	18176	0.004	175.183
0	4	5	57088	38400	0.013	171.724
0	5	1	60672	729472	0.106	94.562
0	5	2	35712	15872	0.003	151.388
0	5	3	72320	1146496	0.188	94.562
0	5	4	33920	13312	0.003	154.100
0	5	5	58240	44416	0.008	129.610
0	6	1	56704	1487232	0.207	123.858
0	6	2	44160	23936	0.004	180.970
0	6	3	49792	1645184	0.229	123.858
0	6	4	38784	17280	0.004	191.966
0	6	5	50816	28032	0.005	173.134
0	7	1	64384	1555840	0.230	128.823
0	7	2	66048	55424	0.009	229.632
0	7	3	54528	1718144	0.259	128.823
0	7	4	49408	19072	0.004	219.553
0	7	5	115456	139008	0.023	188.618
0	8	1	38656	659200	0.097	95.070
0	8	2	31488	14336	0.003	153.445
0	8	3	33024	791424	0.105	95.070
0	8	4	29696	13312	0.003	160.723
0	8	5	38272	16128	0.003	100.310
0	9	1	61056	1513728	0.214	125.166
0	9	2	46080	19840	0.004	184.940
0	9	3	50432	1715968	0.245	125.157
0	9	4	43904	17408	0.004	192.254
0	9	5	73088	49536	0.009	169.852
1	0	1	47488	590720	0.083	77.974
1	0	2	35968	15616	0.003	145.595
1	0	3	43136	814080	0.109	77.974
1	0	4	32640	13184	0.003	150.248
1	0	5	49536	39424	0.007	135.135
1	1	1	55552	625664	0.084	86.792
1	1	2	37248	29184	0.008	148.779
1	1	3	65152	949760	0.127	86.792
1	1	4	27008	12032	0.002	146.782
1	1	5	38272	37248	0.006	114.283
1	2	1	83840	1246208	0.263	104.713
1	2	2	44160	23680	0.005	185.187
1	2	3	45696	1529600	0.235	104.383
1	2	4	39168	17536	0.003	189.622
1	2	5	59008	75904	0.012	148.819
1	3	1	80640	1959552	0.284	130.937
1	3	2	40576	18560	0.004	165.956
1	3	3	58752	1952896	0.291	130.937
1	3	4	38528	16640	0.004	174.856
1	3	5	74624	72064	0.012	156.236
1	4	1	76288	1883264	0.273	148.744
1	4	2	49920	34944	0.012	192.835
1	4	3	49152	1946112	0.286	148.736
1	4	4	39552	19200	0.004	205.498
1	4	5	40192	21120	0.004	174.788
1	5	1	58496	672000	0.094	90.011
1	5	2	34688	23936	0.004	139.933
1	5	3	57984	1118336	0.168	90.011
1	5	4	28800	13184	0.003	161.564
1	5	5	33280	18048	0.003	123.459
1	6	1	78464	2004352	0.286	144.866
1	6	2	48128	21248	0.005	180.690
1	6	3	61824	2001024	0.285	144.866
1	6	4	47744	17664	0.008	182.383
1	6	5	75392	65280	0.013	180.955
1	7	1	76544	1537280	0.217	112.649
1	7	2	53888	40960	0.007	188.897
1	7	3	56960	1703936	0.242	112.649
1	7	4	40576	18944	0.004	196.269
1	7	5	84992	95872	0.016	174.999
1	8	1	82176	1125632	0.163	93.888
1	8	2	24320	12800	0.003	109.848
1	8	3	54912	1457664	0.205	93.888
1	8	4	24320	12800	0.003	109.848
1	8	5	25728	14848	0.003	113.350
1	9	1	56064	967168	0.170	86.366
1	9	2	26752	14208	0.003	127.690
1	9	3	52480	1258368	0.201	86.357
1	9	4	26368	12800	0.003	133.761
1	9	5	41856	37632	0.007	124.190
2	0	1	65536	785792	0.105	114.376
2	0	2	40320	17024	0.003	154.693
2	0	3	50432	1177984	0.180	114.376
2	0	4	41344	16256	0.003	156.421
2	0	5	54784	74496	0.012	170.165
2	1	1	64512	989696	0.136	124.011
2	1	2	39552	18176	0.004	159.255
2	1	3	44544	1292928	0.183	123.358
2	1	4	39168	17408	0.004	164.155
2	1	5	61824	65280	0.014	174.076
2	2	1	54528	1058944	0.141	133.775
2	2	2	48512	24320	0.005	197.338
2	2	3	53760	1393920	0.196	133.767
2	2	4	44544	19968	0.004	195.930
2	2	5	42496	23168	0.004	172.261
2	3	1	62848	1863936	0.261	153.049
2	3	2	41856	23936	0.005	192.660
2	3	3	49152	1995264	0.281	152.546
2	3	4	37376	17920	0.004	201.388
2	3	5	71808	91648	0.015	179.560
2	4	1	53632	548224	0.079	75.994
2	4	2	34176	15488	0.003	159.502
2	4	3	62848	949248	0.141	75.985
2	4	4	33280	14336	0.004	161.230
2	4	5	42240	21888	0.004	143.060
2	5	1	74752	1796736	0.249	116.574
2	5	2	39936	16000	0.003	187.871
2	5	3	66048	1938048	0.303	116.574
2	5	4	35968	13568	0.003	177.200
2	5	5	60672	37888	0.007	136.369
2	6	1	64128	1320448	0.184	140.127
2	6	2	49792	23296	0.005	217.028
2	6	3	54912	1678336	0.228	140.119
2	6	4	47872	20352	0.004	220.552
2	6	5	51840	30336	0.006	184.045
2	7	1	68736	1729920	0.244	134.614
2	7	2	60160	62848	0.010	203.507
2	7	3	48640	1935104	0.268	134.111
2	7	4	36224	18688	0.004	230.695
2	7	5	46592	37632	0.007	165.361
2	8	1	67584	918784	0.131	102.039
2	8	2	42880	18688	0.004	190.503
2	8	3	54016	1297792	0.183	102.021
2	8	4	42624	17664	0.004	193.816
2	8	5	59648	35712	0.006	171.141
2	9	1	61056	327936	0.044	70.528
2	9	2	33152	14336	0.003	132.206
2	9	3	50432	579584	0.078	70.520
2	9	4	32768	13696	0.003	131.035
2	9	5	43264	28288	0.005	136.085
3	0	1	62208	1443584	0.205	104.376
3	0	2	45952	31744	0.006	182.973
3	0	3	57216	1786112	0.246	101.741
3	0	4	39680	17792	0.004	203.328
3	0	5	45952	27008	0.005	156.829
3	1	1	42880	1011840	0.151	90.167
3	1	2	31488	16384	0.003	128.705
3	1	3	43392	1190016	0.167	90.158
3	1	4	30720	15232	0.003	133.829
3	1	5	38912	18816	0.004	96.567
3	2	1	59904	884992	0.124	86.314
3	2	2	30976	14080	0.003	136.557
3	2	3	52608	1170816	0.189	86.314
3	2	4	28032	12672	0.003	147.431
3	2	5	40960	40704	0.007	134.234
3	3	1	42624	849024	0.121	78.488
3	3	2	27520	14464	0.003	111.601
3	3	3	43648	1021568	0.148	78.858
3	3	4	24704	12544	0.008	107.015
3	3	5	29824	15104	0.004	80.274
3	4	1	63488	1161984	0.158	94.767
3	4	2	35840	16896	0.003	149.307
3	4	3	49792	1421440	0.189	94.767
3	4	4	35968	16512	0.003	150.964
3	4	5	50816	30208	0.005	166.054
3	5	1	77312	1184000	0.163	93.172
3	5	2	50816	30464	0.005	180.705
3	5	3	54016	1592192	0.222	93.163
3	5	4	43008	18176	0.004	191.084
3	5	5	69376	46336	0.008	159.667
3	6	1	57600	1071488	0.153	101.255
3	6	2	36992	14848	0.003	154.079
3	6	3	43136	1258368	0.175	101.237
3	6	4	34048	12800	0.003	149.147
3	6	5	65152	52224	0.009	136.350
3	7	1	79360	1743744	0.250	126.844
3	7	2	38144	15616	0.003	163.088
3	7	3	55296	1930880	0.274	126.844
3	7	4	37248	14592	0.003	158.201
3	7	5	40576	18432	0.004	146.823
3	8	1	42240	874624	0.125	81.925
3	8	2	27520	13824	0.003	113.171
3	8	3	47104	1044864	0.148	81.916
3	8	4	26752	12544	0.003	111.999
3	8	5	33664	17408	0.003	87.802
3	9	1	47104	861440	0.121	86.546
3	9	2	26624	12800	0.003	92.059
3	9	3	42112	1095040	0.146	86.546
3	9	4	26368	12160	0.003	93.716
3	9	5	28672	14208	0.003	112.972
4	0	1	58624	1151744	0.165	90.468
4	0	2	29952	16512	0.003	132.212
4	0	3	59776	1337344	0.195	89.011
4	0	4	28800	13696	0.003	141.657
4	0	5	43776	28160	0.005	136.382
4	1	1	41088	932224	0.130	110.372
4	1	2	27648	17280	0.003	132.603
4	1	3	42496	1225472	0.172	110.372
4	1	4	25728	13696	0.003	137.092
4	1	5	28032	15104	0.003	118.857
4	2	1	66816	880128	0.123	88.928
4	2	2	44416	19328	0.004	129.174
4	2	3	48512	1213184	0.168	88.919
4	2	4	40832	17664	0.004	138.480
4	2	5	45696	22912	0.004	171.399
4	3	1	52736	1634304	0.239	122.614
4	3	2	39680	25600	0.005	163.650
4	3	3	50944	1928832	0.269	122.605
4	3	4	33280	17536	0.003	175.610
4	3	5	42496	25728	0.005	157.301
4	4	1	61696	1599616	0.232	120.718
4	4	2	42752	17664	0.004	168.744
4	4	3	58368	1912448	0.277	120.638
4	4	4	41728	16256	0.004	163.463
4	4	5	62720	56448	0.010	168.216
4	5	1	45568	1263616	0.179	132.181
4	5	2	36864	20992	0.004	173.697
4	5	3	51840	1727744	0.241	132.343
4	5	4	34176	18432	0.004	175.122
4	5	5	37632	22400	0.004	148.023
4	6	1	56704	1594752	0.219	129.250
4	6	2	31744	18048	0.003	153.609
4	6	3	51456	1948672	0.294	129.250
4	6	4	30592	15616	0.003	156.473
4	6	5	37376	25600	0.005	136.848
4	7	1	53760	1368704	0.195	126.425
4	7	2	40192	18176	0.004	173.340
4	7	3	52864	1684736	0.242	126.416
4	7	4	40448	17536	0.004	178.896
4	7	5	37760	20224	0.004	173.366
4	8	1	61312	666368	0.095	70.340
4	8	2	23808	9728	0.002	94.782
4	8	3	78848	1184768	0.172	70.340
4	8	4	24832	9600	0.002	96.782
4	8	5	27520	12672	0.002	94.782
4	9	1	64384	654592	0.093	63.340
4	9	2	27904	15232	0.003	120.579
4	9	3	73344	1065088	0.152	63.158
4	9	4	26624	13440	0.003	120.579
4	9	5	28288	15360	0.003	118.971
