grid#	st/gl#	heur	m_f(B)	exp	time(s)	dist
0	0	1	83072	867072	0.124	128.767
0	0	2	36736	17024	0.004	167.313
0	0	3	76800	1744384	0.243	128.758
0	0	4	37120	15872	0.004	155.752
0	0	5	34432	16256	0.003	171.838
0	1	1	94208	551424	0.083	122.493
0	1	2	38400	18304	0.004	171.626
0	1	3	49152	1459072	0.223	122.466
0	1	4	37120	18048	0.003	170.973
0	1	5	39552	18944	0.004	183.286
0	2	1	98560	178560	0.028	71.586
0	2	2	33280	13696	0.003	140.106
0	2	3	62336	702720	0.099	70.981
0	2	4	32768	12672	0.003	136.152
0	2	5	32128	14080	0.003	139.939
0	3	1	107392	787712	0.113	136.829
0	3	2	46336	16256	0.004	207.475
0	3	3	49920	1280128	0.173	133.160
0	3	4	46592	15744	0.003	203.873
0	3	5	47232	17152	0.004	205.862
0	4	1	90240	618496	0.087	124.062
0	4	2	38528	18432	0.004	176.354
0	4	3	50560	1449216	0.206	119.793
0	4	4	39040	18176	0.004	175.183
0	4	5	40832	19456	0.004	180.553
0	5	1	90496	266368	0.039	94.571
0	5	2	33664	14464	0.003	152.388
0	5	3	56064	747392	0.105	94.571
0	5	4	33920	13312	0.003	154.100
0	5	5	35968	15616	0.003	153.738
0	6	1	92160	711296	0.104	125.730
0	6	2	38912	18176	0.004	193.041
0	6	3	54016	1489280	0.214	124.298
0	6	4	38784	17280	0.004	191.966
0	6	5	37376	17792	0.004	176.801
0	7	1	109824	484480	0.074	128.892
0	7	2	49152	20992	0.004	244.953
0	7	3	58240	1568128	0.214	130.030
0	7	4	49408	19072	0.004	219.553
0	7	5	47872	20352	0.004	225.259
0	8	1	61952	242048	0.035	95.079
0	8	2	30720	13440	0.003	158.652
0	8	3	36608	674816	0.090	95.070
0	8	4	29696	13312	0.003	160.723
0	8	5	36352	13824	0.003	101.860
0	9	1	89728	550144	0.079	129.631
0	9	2	44544	17408	0.004	191.426
0	9	3	51328	1581824	0.212	125.244
0	9	4	43904	17408	0.004	192.254
0	9	5	46336	18816	0.004	186.824
1	0	1	65024	163200	0.026	79.914
1	0	2	34816	13824	0.003	152.288
1	0	3	45184	564864	0.076	77.974
1	0	4	32640	13184	0.003	150.248
1	0	5	28160	14336	0.003	148.478
1	1	1	64256	274048	0.037	86.801
1	1	2	27776	12800	0.003	155.228
1	1	3	54656	599168	0.082	87.792
1	1	4	27008	12032	0.003	146.782
1	1	5	24832	12160	0.002	123.804
1	2	1	73344	925312	0.128	136.203
1	2	2	40192	18944	0.004	197.223
1	2	3	64256	1274880	0.180	104.383
1	2	4	39168	17536	0.004	189.622
1	2	5	36608	17536	0.004	173.785
1	3	1	138880	1558400	0.223	130.954
1	3	2	38784	16896	0.003	172.406
1	3	3	65408	1931392	0.270	130.937
1	3	4	38528	16640	0.004	174.856
1	3	5	42880	17920	0.004	175.100
1	4	1	51968	913536	0.135	149.739
1	4	2	39808	19712	0.006	204.806
1	4	3	57216	1859840	0.265	148.736
1	4	4	39552	19200	0.004	205.498
1	4	5	38784	19456	0.004	184.030
1	5	1	63488	372352	0.055	90.020
1	5	2	28928	14592	0.003	160.733
1	5	3	64128	714368	0.108	90.011
1	5	4	28800	13184	0.003	161.564
1	5	5	28800	13824	0.003	124.045
1	6	1	146944	1799552	0.271	148.722
1	6	2	46336	18048	0.004	181.897
1	6	3	65408	1992576	0.268	144.866
1	6	4	47744	17664	0.004	182.383
1	6	5	45568	20480	0.004	208.661
1	7	1	120704	758016	0.109	112.737
1	7	2	40576	19072	0.004	193.612
1	7	3	61056	1583232	0.215	112.667
1	7	4	40576	18944	0.004	196.269
1	7	5	43520	21376	0.005	215.121
1	8	1	70016	475776	0.069	93.898
1	8	2	24320	12800	0.003	109.848
1	8	3	73728	1120000	0.162	93.888
1	8	4	24320	12800	0.003	109.848
1	8	5	24448	13440	0.003	114.521
1	9	1	82048	361472	0.064	87.350
1	9	2	25856	12928	0.003	130.725
1	9	3	54784	968448	0.145	86.357
1	9	4	26368	12800	0.003	133.761
1	9	5	28672	13440	0.003	127.397
2	0	1	70784	425984	0.067	115.335
2	0	2	40064	16896	0.003	155.961
2	0	3	59648	894848	0.118	114.376
2	0	4	41344	16256	0.004	156.421
2	0	5	39296	17408	0.003	184.156
2	1	1	71168	643200	0.088	124.823
2	1	2	39040	17536	0.003	162.498
2	1	3	55296	1030784	0.140	123.376
2	1	4	39168	17408	0.004	164.155
2	1	5	39808	19456	0.005	209.048
2	2	1	70016	662528	0.093	135.345
2	2	2	45440	20864	0.004	203.066
2	2	3	50816	1061376	0.145	133.767
2	2	4	44544	19968	0.004	195.930
2	2	5	40832	20608	0.004	172.261
2	3	1	91648	1222016	0.174	155.098
2	3	2	37376	18176	0.004	201.388
2	3	3	55168	1947264	0.278	152.546
2	3	4	37376	17920	0.004	201.388
2	3	5	34560	18688	0.004	191.746
2	4	1	59904	140672	0.022	76.539
2	4	2	34176	14720	0.003	159.927
2	4	3	49664	599936	0.089	75.985
2	4	4	33280	14336	0.003	161.230
2	4	5	36224	16128	0.003	147.774
2	5	1	85760	919552	0.148	117.275
2	5	2	39168	15232	0.003	192.735
2	5	3	72576	1843584	0.265	116.574
2	5	4	35968	13568	0.003	177.200
2	5	5	37376	14720	0.003	154.287
2	6	1	89472	626048	0.089	140.552
2	6	2	47616	21248	0.009	221.685
2	6	3	64512	1349120	0.182	140.119
2	6	4	47872	20352	0.004	220.552
2	6	5	43008	20864	0.004	189.581
2	7	1	110080	1024896	0.148	136.585
2	7	2	36992	18432	0.004	224.931
2	7	3	56832	1785344	0.249	134.111
2	7	4	36224	18688	0.004	230.695
2	7	5	35328	19328	0.004	178.675
2	8	1	102528	471808	0.071	107.108
2	8	2	42496	17792	0.004	192.574
2	8	3	63360	1040000	0.147	103.107
2	8	4	42624	17664	0.004	193.816
2	8	5	44800	19584	0.004	191.778
2	9	1	61824	253056	0.037	92.232
2	9	2	33280	14080	0.003	133.035
2	9	3	55680	352128	0.048	70.693
2	9	4	32768	13696	0.003	131.035
2	9	5	33792	15872	0.003	147.931
3	0	1	77696	526336	0.092	105.543
3	0	2	40192	18816	0.004	195.976
3	0	3	61440	1554432	0.215	104.164
3	0	4	39680	17792	0.003	203.328
3	0	5	38656	19328	0.004	160.829
3	1	1	62464	449280	0.062	90.176
3	1	2	30976	15360	0.003	132.018
3	1	3	42624	986496	0.134	90.158
3	1	4	30720	15232	0.003	133.829
3	1	5	34560	15360	0.003	101.567
3	2	1	89472	494976	0.070	94.047
3	2	2	29568	13312	0.003	136.728
3	2	3	61568	854528	0.116	86.314
3	2	4	28032	12672	0.003	147.431
3	2	5	28928	14720	0.003	147.183
3	3	1	52992	380160	0.053	78.497
3	3	2	26112	13440	0.003	111.601
3	3	3	42496	836480	0.120	78.858
3	3	4	24704	12544	0.003	107.015
3	3	5	28032	13312	0.003	82.031
3	4	1	92160	410368	0.058	107.108
3	4	2	35968	16512	0.003	150.964
3	4	3	51840	1225472	0.177	97.255
3	4	4	35968	16512	0.003	150.964
3	4	5	36736	17408	0.003	172.153
3	5	1	93696	256640	0.038	95.086
3	5	2	41600	18432	0.004	190.013
3	5	3	68224	1340416	0.188	95.086
3	5	4	43008	18176	0.004	191.084
3	5	5	46208	20480	0.004	171.036
3	6	1	65920	521344	0.079	104.952
3	6	2	36224	13696	0.003	159.908
3	6	3	48640	1058432	0.142	101.237
3	6	4	34048	12800	0.003	149.147
3	6	5	36096	14720	0.003	142.391
3	7	1	76416	769280	0.108	127.406
3	7	2	38016	15360	0.003	163.088
3	7	3	66304	1771392	0.254	126.844
3	7	4	37248	14592	0.003	158.201
3	7	5	36992	15616	0.003	147.995
3	8	1	56576	408448	0.062	82.942
3	8	2	26752	13184	0.003	113.171
3	8	3	45184	832640	0.118	81.916
3	8	4	26752	12544	0.003	111.999
3	8	5	28800	12800	0.003	91.423
3	9	1	50048	369408	0.054	86.555
3	9	2	26368	12160	0.003	93.716
3	9	3	45440	839168	0.115	86.546
3	9	4	26368	12160	0.003	93.716
3	9	5	26624	12672	0.002	118.215
4	0	1	63488	496896	0.073	92.518
4	0	2	28672	13824	0.003	138.561
4	0	3	53760	1095296	0.148	89.011
4	0	4	28800	13696	0.003	141.657
4	0	5	31872	14336	0.003	146.939
4	1	1	44032	567296	0.076	110.712
4	1	2	25984	14720	0.003	134.295
4	1	3	32640	972288	0.129	110.372
4	1	4	25728	13696	0.003	137.092
4	1	5	25088	13696	0.003	130.015
4	2	1	80896	272256	0.038	92.500
4	2	2	43776	18432	0.004	130.002
4	2	3	51968	945152	0.128	88.919
4	2	4	40832	17664	0.004	138.480
4	2	5	37376	18304	0.004	163.720
4	3	1	82432	999424	0.145	124.514
4	3	2	33280	17536	0.003	175.610
4	3	3	55808	1687552	0.231	122.605
4	3	4	33280	17536	0.003	175.610
4	3	5	33152	17408	0.003	154.592
4	4	1	76160	503296	0.072	122.205
4	4	2	42752	17408	0.004	169.572
4	4	3	61696	1738496	0.248	120.638
4	4	4	41728	16256	0.003	163.463
4	4	5	44032	17536	0.004	173.244
4	5	1	41984	682368	0.107	132.518
4	5	2	34048	18560	0.004	175.354
4	5	3	49280	1327488	0.186	132.343
4	5	4	34176	18432	0.004	175.122
4	5	5	30720	18688	0.004	150.496
4	6	1	53760	867584	0.136	129.259
4	6	2	30848	15872	0.003	156.473
4	6	3	57344	1664512	0.257	129.250
4	6	4	30592	15616	0.003	156.473
4	6	5	30848	16640	0.003	141.676
4	7	1	77952	835456	0.119	126.625
4	7	2	39936	17664	0.004	177.032
4	7	3	55936	1361024	0.186	126.416
4	7	4	40448	17536	0.004	178.896
4	7	5	35200	18944	0.004	179.745
4	8	1	74880	354048	0.059	71.188
4	8	2	25088	9472	0.002	97.024
4	8	3	65664	701952	0.119	70.340
4	8	4	24832	9600	0.002	96.782
4	8	5	24448	10368	0.002	97.125
4	9	1	69376	195456	0.030	66.234
4	9	2	27264	13824	0.003	121.407
4	9	3	64128	630912	0.116	63.158
4	9	4	26624	13440	0.003	120.579
4	9	5	25984	13568	0.003	120.693
