w1	w2	grid#	st/gl#	heur	m_f(B)	exp	time(s)	dist
0	0	0	0	4	143104	2607104	0.540	128.758
0	0	0	1	4	83712	2159104	0.366	122.466
0	0	0	2	4	101632	1183232	0.224	70.765
0	0	0	3	4	109568	1974784	0.361	132.987
0	0	0	4	4	92416	2164736	0.407	119.784
0	0	0	5	4	101376	1295872	0.226	94.562
0	0	0	6	4	100224	2168320	0.393	123.858
0	0	0	7	4	103552	2260992	0.437	128.823
0	0	0	8	4	57600	987648	0.167	95.070
0	0	0	9	4	90880	2228224	0.413	125.157
0	0	1	0	4	84736	995840	0.187	77.974
0	0	1	1	4	81024	1088000	0.182	86.792
0	0	1	2	4	98944	2013696	0.364	104.383
0	0	1	3	4	123520	2628096	0.474	130.937
0	0	1	4	4	94848	2616832	0.464	148.736
0	0	1	5	4	104704	1265664	0.218	90.011
0	0	1	6	4	120320	2691072	0.484	144.866
0	0	1	7	4	110464	2263552	0.425	112.649
0	0	1	8	4	108160	1864704	0.336	93.888
0	0	1	9	4	104960	1580544	0.284	86.357
0	0	2	0	4	78720	1429504	0.245	114.376
0	0	2	1	4	73984	1640960	0.289	123.358
0	0	2	2	4	83328	1725952	0.313	133.767
0	0	2	3	4	113792	2716672	0.479	152.546
0	0	2	4	4	95744	1087488	0.188	75.985
0	0	2	5	4	194176	2726912	0.564	116.574
0	0	2	6	4	92288	2115584	0.381	140.119
0	0	2	7	4	87680	2518528	0.446	134.111
0	0	2	8	4	91392	1592320	0.273	102.021
0	0	2	9	4	75520	629760	0.109	70.520
0	0	3	0	4	107520	2171904	0.392	101.741
0	0	3	1	4	72960	1518592	0.264	90.158
0	0	3	2	4	105856	1429504	0.254	86.314
0	0	3	3	4	72832	1304064	0.279	78.479
0	0	3	4	4	99712	1821696	0.320	94.767
0	0	3	5	4	98048	2005504	0.368	93.163
0	0	3	6	4	94848	1639424	0.286	101.237
0	0	3	7	4	147456	2749952	0.546	126.844
0	0	3	8	4	75392	1325056	0.236	81.916
