grid#	st/gl#	heur	m_f(B)	exp	time(s)	dist
0	0	0	61824	2012800	0.298	128.758
0	0	1	73984	1887360	0.299	128.758
0	0	2	60288	158848	0.025	152.558
0	0	3	65664	1983872	0.397	128.758
0	0	4	37120	15872	0.003	155.752
0	0	5	92032	646912	0.099	132.361
0	1	0	50688	1789184	0.274	122.466
0	1	1	49024	1619072	0.244	122.466
0	1	2	65152	91904	0.017	131.844
0	1	3	48896	1678592	0.244	122.466
0	1	4	37120	18048	0.004	170.973
0	1	5	88192	194944	0.032	131.589
0	2	0	53248	1403136	0.210	70.765
0	2	1	59392	887168	0.130	70.765
0	2	2	51456	73088	0.012	131.413
0	2	3	56704	1151232	0.165	70.765
0	2	4	32768	12672	0.003	136.152
0	2	5	86016	351488	0.054	99.963
0	3	0	42240	1713152	0.255	132.987
0	3	1	56064	1405056	0.241	132.987
0	3	2	62976	45056	0.017	193.208
0	3	3	46976	1559424	0.224	132.987
0	3	4	46592	15744	0.003	203.873
0	3	5	101760	807424	0.129	141.959
0	4	0	52480	1785728	0.245	119.784
0	4	1	54656	1623296	0.225	119.784
0	4	2	65024	91008	0.014	141.317
0	4	3	50048	1680384	0.232	119.784
0	4	4	39040	18176	0.004	175.183
0	4	5	91904	219392	0.034	135.909
0	5	0	60032	1576192	0.232	94.562
0	5	1	66432	971648	0.138	94.562
0	5	2	52736	56448	0.009	134.816
0	5	3	66816	1288320	0.193	94.562
0	5	4	34176	13312	0.003	151.893
0	5	5	71808	328704	0.049	104.289
0	6	0	46720	1763584	0.255	123.858
0	6	1	56064	1626240	0.235	123.858
0	6	2	56576	78208	0.013	140.776
0	6	3	49280	1684864	0.302	123.858
0	6	4	38784	17280	0.004	189.344
0	6	5	107392	717056	0.120	129.043
0	7	0	47104	1837440	0.284	128.823
0	7	1	58240	1695616	0.248	128.823
0	7	2	85504	131200	0.026	173.153
0	7	3	52736	1753344	0.280	128.823
0	7	4	49408	19072	0.004	219.553
0	7	5	97152	535552	0.080	133.542
0	8	0	37632	1017728	0.159	95.070
0	8	1	34688	740608	0.106	95.070
0	8	2	53376	54400	0.009	131.190
0	8	3	32640	849280	0.134	95.070
0	8	4	29696	13312	0.003	160.723
0	8	5	58240	139264	0.021	96.182
0	9	0	48896	1867392	0.274	125.157
0	9	1	52608	1670912	0.251	125.157
0	9	2	57856	78848	0.013	166.085
0	9	3	49280	1771648	0.265	125.157
0	9	4	43904	17408	0.004	192.254
0	9	5	99968	429824	0.066	136.470
1	0	0	48256	1176448	0.172	77.974
1	0	1	46208	746880	0.120	77.974
1	0	2	47872	71552	0.011	127.458
1	0	3	49408	938624	0.135	77.974
1	0	4	32640	13184	0.003	150.248
1	0	5	68608	178816	0.027	82.156
1	1	0	56448	1413632	0.205	86.792
1	1	1	55680	815744	0.124	86.792
1	1	2	63488	118144	0.019	113.713
1	1	3	65280	1134720	0.216	86.792
1	1	4	27264	12160	0.003	144.575
1	1	5	61952	264832	0.038	87.886
1	2	0	39424	1678464	0.249	104.383
1	2	1	68096	1510272	0.222	104.383
1	2	2	92544	259840	0.056	145.319
1	2	3	43776	1585408	0.230	104.383
1	2	4	39296	17536	0.004	188.415
1	2	5	67712	684288	0.099	137.619
1	3	0	53504	1973376	0.315	130.937
1	3	1	67840	1964800	0.285	130.937
1	3	2	60672	160256	0.024	153.436
1	3	3	56192	1961600	0.292	130.937
1	3	4	38272	16640	0.004	172.406
1	3	5	80128	792320	0.138	135.749
1	4	0	40192	1996928	0.280	148.736
1	4	1	62720	1960704	0.280	148.736
1	4	2	61952	239872	0.036	151.017
1	4	3	46464	1965056	0.273	148.736
1	4	4	39552	19200	0.008	201.877
1	4	5	91392	602112	0.087	152.076
1	5	0	48512	1438080	0.247	90.011
1	5	1	71040	948992	0.152	90.011
1	5	2	70144	131584	0.020	90.020
1	5	3	52864	1254400	0.174	90.011
1	5	4	29056	13312	0.003	158.115
1	5	5	71552	310272	0.046	101.332
1	6	0	54016	2007424	0.289	144.866
1	6	1	64640	2005760	0.290	144.866
1	6	2	58112	115968	0.019	170.949
1	6	3	59904	2003072	0.279	144.866
1	6	4	47744	17664	0.004	182.383
1	6	5	117248	1302400	0.205	150.617
1	7	0	53248	1804672	0.245	112.649
1	7	1	66432	1697664	0.252	112.649
1	7	2	77056	354944	0.056	164.132
1	7	3	59264	1735936	0.251	112.649
1	7	4	40448	18944	0.004	193.612
1	7	5	87680	406784	0.066	142.965
1	8	0	49408	1677824	0.250	93.888
1	8	1	68480	1398272	0.205	93.888
1	8	2	27904	66304	0.011	105.551
1	8	3	52352	1528320	0.227	93.888
1	8	4	24320	12800	0.003	109.848
1	8	5	54528	231680	0.034	105.386
1	9	0	54656	1490048	0.210	86.357
1	9	1	55168	1185280	0.184	86.357
1	9	2	46976	141824	0.022	119.710
1	9	3	51968	1338368	0.193	86.357
1	9	4	26368	12800	0.003	133.761
1	9	5	63744	195584	0.030	103.137
2	0	0	41600	1464320	0.198	114.376
2	0	1	60032	1072000	0.152	114.376
2	0	2	45568	34432	0.006	150.551
2	0	3	42624	1271040	0.182	114.376
2	0	4	41344	16256	0.004	156.421
2	0	5	81152	420608	0.063	115.481
2	1	0	39552	1551232	0.217	123.358
2	1	1	52096	1230720	0.183	123.358
2	1	2	63488	124928	0.020	153.344
2	1	3	40704	1394176	0.196	123.358
2	1	4	39168	17408	0.004	164.155
2	1	5	100352	549248	0.079	125.746
2	2	0	43776	1684480	0.235	133.767
2	2	1	57856	1294208	0.178	133.767
2	2	2	64640	71424	0.013	179.160
2	2	3	51584	1502720	0.218	133.767
2	2	4	44672	19968	0.004	194.723
2	2	5	60672	607872	0.089	163.820
2	3	0	45056	2003072	0.311	152.546
2	3	1	54144	1974272	0.282	152.546
2	3	2	63744	475520	0.078	172.820
2	3	3	45056	1997952	0.290	152.546
2	3	4	37504	18048	0.004	197.560
2	3	5	93056	1077632	0.171	163.474
2	4	0	70016	1467520	0.232	75.985
2	4	1	59392	815616	0.121	75.985
2	4	2	49408	40192	0.007	132.614
2	4	3	62464	1095168	0.168	75.985
2	4	4	33280	14336	0.003	161.230
2	4	5	94592	216192	0.034	89.129
2	5	0	67328	1990272	0.285	116.574
2	5	1	75904	1902208	0.291	116.574
2	5	2	48128	23168	0.005	149.269
2	5	3	68352	1958016	0.292	116.574
2	5	4	35968	13568	0.003	177.200
2	5	5	95616	600320	0.097	116.619
2	6	0	43520	1856384	0.258	140.119
2	6	1	63104	1586560	0.239	140.119
2	6	2	86784	176384	0.028	187.195
2	6	3	51328	1749504	0.251	140.119
2	6	4	48000	20352	0.005	219.344
2	6	5	86912	620160	0.094	143.648
2	7	0	45056	1979264	0.289	134.111
2	7	1	53504	1888896	0.283	134.111
2	7	2	85248	402688	0.063	161.429
2	7	3	45696	1958016	0.271	134.111
2	7	4	36480	18816	0.004	228.245
2	7	5	116224	884736	0.132	148.313
2	8	0	40704	1557504	0.216	102.021
2	8	1	58240	1194240	0.177	102.021
2	8	2	50304	64256	0.011	164.467
2	8	3	45440	1389312	0.199	102.021
2	8	4	42368	17664	0.004	192.574
2	8	5	93568	334208	0.051	125.629
2	9	0	54272	919552	0.138	70.520
2	9	1	58624	472064	0.067	70.520
2	9	2	35200	30080	0.005	123.336
2	9	3	55808	685184	0.098	70.520
2	9	4	32768	13696	0.003	131.035
2	9	5	72704	184960	0.027	92.241
3	0	0	52608	1959296	0.269	101.741
3	0	1	61696	1628160	0.236	101.741
3	0	2	113280	267264	0.042	153.546
3	0	3	55552	1851776	0.257	101.741
3	0	4	39680	17792	0.004	203.328
3	0	5	84608	350208	0.053	105.379
3	1	0	45696	1447168	0.206	90.158
3	1	1	42624	1138816	0.160	90.158
3	1	2	41984	49280	0.008	90.340
3	1	3	44032	1265664	0.175	90.158
3	1	4	30720	15232	0.003	133.829
3	1	5	55552	138496	0.022	90.176
3	2	0	48256	1450624	0.217	86.314
3	2	1	55552	1072000	0.156	86.314
3	2	2	39936	33024	0.006	114.450
3	2	3	49920	1267584	0.237	86.314
3	2	4	28032	12672	0.003	147.431
3	2	5	58368	188800	0.030	94.039
3	3	0	45952	1257472	0.173	78.479
3	3	1	40704	977792	0.145	78.479
3	3	2	36736	59904	0.009	106.423
3	3	3	43008	1093120	0.165	78.479
3	3	4	24704	12544	0.002	107.015
3	3	5	52736	214784	0.035	78.497
3	4	0	46336	1668608	0.260	94.767
3	4	1	60544	1365632	0.194	94.767
3	4	2	48640	60800	0.010	134.351
3	4	3	45696	1509760	0.225	94.767
3	4	4	35968	16512	0.003	150.964
3	4	5	67328	284160	0.044	128.768
3	5	0	50432	1809792	0.249	93.163
3	5	1	61696	1504000	0.220	93.163
3	5	2	49920	50688	0.008	165.887
3	5	3	53504	1668736	0.233	93.163
3	5	4	43264	18176	0.004	188.255
3	5	5	84224	406656	0.060	142.842
3	6	0	36608	1489792	0.223	101.237
3	6	1	50688	1209856	0.205	101.237
3	6	2	42240	35840	0.006	136.208
3	6	3	41856	1331712	0.194	101.237
3	6	4	34048	12800	0.003	149.147
3	6	5	61824	371584	0.056	107.157
3	7	0	51328	1977728	0.280	126.844
3	7	1	63360	1893248	0.287	126.844
3	7	2	40704	26752	0.005	153.459
3	7	3	51456	1949056	0.284	126.844
3	7	4	37248	14592	0.003	158.201
3	7	5	75520	654848	0.100	136.632
3	8	0	46336	1298688	0.185	81.916
3	8	1	42880	993664	0.150	81.916
3	8	2	38016	40704	0.007	105.957
3	8	3	48896	1127552	0.155	81.916
3	8	4	27264	12800	0.003	111.999
3	8	5	52864	226048	0.035	82.934
3	9	0	43136	1321856	0.194	86.546
3	9	1	45824	1051904	0.147	86.546
3	9	2	29056	27392	0.005	86.710
3	9	3	42496	1160704	0.164	86.546
3	9	4	26368	12160	0.003	93.716
3	9	5	57088	137600	0.020	86.555
4	0	0	55040	1670528	0.229	89.011
4	0	1	56576	1285504	0.181	89.011
4	0	2	71680	126848	0.019	94.975
4	0	3	56960	1438208	0.237	89.011
4	0	4	28800	13696	0.003	138.450
4	0	5	68736	318464	0.056	92.811
4	1	0	48768	1628672	0.234	110.372
4	1	1	34816	1077504	0.153	110.372
4	1	2	36736	165632	0.026	120.821
4	1	3	46720	1339776	0.191	110.372
4	1	4	25728	13696	0.003	137.092
4	1	5	67712	496896	0.074	115.969
4	2	0	47616	1552640	0.214	88.919
4	2	1	54144	1113600	0.158	88.919
4	2	2	44672	38784	0.007	126.688
4	2	3	49792	1314176	0.185	88.919
4	2	4	40832	17664	0.004	138.480
4	2	5	98816	387584	0.062	94.173
4	3	0	47488	1968256	0.282	122.605
4	3	1	53120	1855232	0.268	122.605
4	3	2	53504	115712	0.019	139.462
4	3	3	48512	1951104	0.318	122.605
4	3	4	33536	17408	0.004	174.196
4	3	5	91392	489472	0.077	136.789
4	4	0	54784	1949184	0.295	120.638
4	4	1	57344	1824640	0.286	120.638
4	4	2	47104	27520	0.005	166.501
4	4	3	57088	1927552	0.291	120.638
4	4	4	41728	16256	0.004	163.463
4	4	5	85504	488320	0.072	129.447
4	5	0	48768	1959040	0.287	132.172
4	5	1	53504	1528960	0.215	132.172
4	5	2	60672	123008	0.020	135.804
4	5	3	51584	1857920	0.261	132.172
4	5	4	34176	18432	0.004	175.122
4	5	5	78080	387200	0.058	132.518
4	6	0	48768	2003840	0.279	129.250
4	6	1	55296	1823104	0.315	129.250
4	6	2	75392	184704	0.029	130.459
4	6	3	51456	1987840	0.279	129.250
4	6	4	30720	15744	0.003	156.473
4	6	5	60672	506496	0.075	129.345
4	7	0	48768	1918464	0.275	126.416
4	7	1	54144	1581696	0.246	126.416
4	7	2	60160	64640	0.013	156.752
4	7	3	50816	1789312	0.261	126.416
4	7	4	40448	17536	0.004	178.896
4	7	5	62080	524288	0.079	135.277
4	8	0	75008	1732864	0.268	70.340
4	8	1	75520	948736	0.135	70.340
4	8	2	23808	9728	0.002	94.782
4	8	3	78208	1357056	0.197	70.340
4	8	4	24832	9600	0.002	96.782
4	8	5	53504	299008	0.045	93.024
4	9	0	81152	1585920	0.225	63.158
4	9	1	68352	919552	0.135	63.158
4	9	2	52992	72064	0.012	72.309
4	9	3	75648	1252992	0.187	63.158
4	9	4	26624	13440	0.003	120.579
4	9	5	53888	97280	0.015	70.145
