grid#	st/gl#	heur	m_f(B)	exp	time(s)	dist
0	0	4	143104	2607104	0.456	128.758
0	1	4	83712	2159104	0.360	122.466
0	2	4	101632	1183232	0.216	70.765
0	3	4	109568	1974784	0.362	132.987
0	4	4	92416	2164736	0.389	119.784
0	5	4	101376	1295872	0.224	94.562
0	6	4	100224	2168320	0.383	123.858
0	7	4	103552	2260992	0.390	128.823
0	8	4	57600	987648	0.170	95.070
0	9	4	90880	2228224	0.389	125.157
1	0	4	84736	995840	0.181	77.974
1	1	4	81024	1088000	0.197	86.792
1	2	4	98944	2013696	0.344	104.383
1	3	4	123520	2628096	0.468	130.937
1	4	4	94848	2616832	0.452	148.736
1	5	4	104704	1265664	0.229	90.011
1	6	4	120320	2691072	0.490	144.866
1	7	4	110464	2263552	0.405	112.649
1	8	4	108160	1864704	0.314	93.888
1	9	4	104960	1580544	0.285	86.357
2	0	4	78720	1429504	0.236	114.376
2	1	4	73984	1640960	0.280	123.358
2	2	4	83328	1725952	0.314	133.767
2	3	4	113792	2716672	0.479	152.546
2	4	4	95744	1087488	0.188	75.985
2	5	4	194176	2726912	0.502	116.574
2	6	4	92288	2115584	0.367	140.119
2	7	4	87680	2518528	0.445	134.111
2	8	4	91392	1592320	0.270	102.021
2	9	4	75520	629760	0.119	70.520
3	0	4	107520	2171904	0.394	101.741
3	1	4	72960	1518592	0.285	90.158
3	2	4	105856	1429504	0.259	86.314
3	3	4	72832	1304064	0.231	78.479
3	4	4	99712	1821696	0.324	94.767
3	5	4	98048	2005504	0.350	93.163
3	6	4	94848	1639424	0.284	101.237
3	7	4	147456	2749952	0.584	126.844
3	8	4	75392	1325056	0.230	81.916
3	9	4	76544	1402880	0.243	86.546
4	0	4	114048	1714176	0.323	89.011
4	1	4	92160	1497600	0.253	110.372
4	2	4	94976	1484800	0.301	88.919
4	3	4	94080	2473984	0.457	122.605
4	4	4	100736	2433024	0.439	120.638
4	5	4	76160	2038784	0.344	132.172
4	6	4	135168	2572288	0.465	129.250
4	7	4	78080	2108928	0.412	126.416
4	8	4	118016	1279488	0.238	70.340
4	9	4	109824	1226240	0.224	63.158
