grid#	st#	step	ml_c	gt_c	dist	p(gt)
0	0	1	(0, 0)	(83, 61)	103.005	0.000
0	0	2	(1, 85)	(83, 60)	85.726	0.001
0	0	3	(99, 45)	(84, 60)	21.213	0.001
0	0	4	(7, 51)	(84, 61)	77.647	0.005
0	0	5	(2, 86)	(84, 62)	85.440	0.001
0	0	6	(17, 21)	(83, 62)	77.698	0.002
0	0	7	(17, 20)	(83, 61)	77.698	0.004
0	0	8	(17, 19)	(83, 60)	77.698	0.006
0	0	9	(18, 19)	(84, 60)	77.698	0.007
0	0	10	(48, 65)	(85, 60)	37.336	0.009
0	0	11	(18, 13)	(85, 61)	82.420	0.016
0	0	12	(19, 13)	(86, 61)	82.420	0.019
0	0	13	(20, 13)	(86, 61)	81.609	0.005
0	0	14	(25, 70)	(87, 61)	62.650	0.034
0	0	15	(25, 71)	(87, 62)	62.650	0.056
0	0	16	(82, 99)	(88, 62)	37.483	0.084
0	0	17	(82, 99)	(88, 63)	36.497	0.110
0	0	18	(81, 99)	(88, 63)	36.674	0.014
0	0	19	(21, 16)	(88, 64)	82.420	0.006
0	0	20	(80, 99)	(88, 64)	35.903	0.003
0	0	21	(80, 98)	(88, 63)	35.903	0.003
0	0	22	(11, 68)	(89, 63)	78.160	0.005
0	0	23	(81, 98)	(90, 63)	36.139	0.021
0	0	24	(22, 14)	(91, 63)	84.629	0.052
0	0	25	(23, 14)	(92, 63)	84.629	0.007
0	0	26	(23, 14)	(93, 63)	85.446	0.002
0	0	27	(84, 98)	(93, 64)	35.171	0.007
0	0	28	(84, 98)	(93, 65)	34.205	0.013
0	0	29	(84, 98)	(94, 65)	34.482	0.002
0	0	30	(48, 85)	(94, 64)	50.567	0.000
0	0	31	(84, 97)	(94, 63)	35.440	0.002
0	0	32	(85, 97)	(94, 62)	36.139	0.006
0	0	33	(84, 96)	(94, 61)	36.401	0.014
0	0	34	(84, 96)	(95, 61)	36.688	0.117
0	0	35	(95, 62)	(95, 62)	0.000	0.252
0	0	36	(94, 62)	(94, 62)	0.000	0.365
0	0	37	(85, 97)	(94, 62)	36.139	0.159
0	0	38	(93, 62)	(93, 62)	0.000	0.336
0	0	39	(94, 62)	(93, 63)	1.414	0.097
0	0	40	(19, 27)	(93, 64)	82.735	0.231
0	0	41	(20, 27)	(94, 64)	82.735	0.339
0	0	42	(94, 65)	(94, 65)	0.000	0.815
0	0	43	(20, 29)	(94, 66)	82.735	0.268
0	0	44	(93, 66)	(93, 66)	0.000	0.472
0	0	45	(93, 67)	(93, 67)	0.000	0.756
0	0	46	(94, 67)	(94, 67)	0.000	0.832
0	0	47	(94, 67)	(94, 68)	1.000	0.173
0	0	48	(93, 67)	(93, 68)	1.000	0.207
0	0	49	(93, 68)	(93, 68)	0.000	0.544
0	0	50	(94, 68)	(94, 68)	0.000	0.936
0	0	51	(94, 69)	(94, 69)	0.000	0.937
0	0	52	(94, 70)	(94, 70)	0.000	0.845
0	0	53	(93, 70)	(93, 70)	0.000	0.983
0	0	54	(93, 70)	(93, 70)	0.000	0.999
0	0	55	(93, 70)	(93, 70)	0.000	0.992
0	0	56	(93, 70)	(93, 70)	0.000	0.999
0	0	57	(93, 70)	(93, 70)	0.000	0.999
0	0	58	(92, 70)	(92, 70)	0.000	0.993
0	0	59	(92, 71)	(92, 71)	0.000	0.899
0	0	60	(91, 71)	(91, 71)	0.000	0.810
0	0	61	(91, 72)	(91, 72)	0.000	0.729
0	0	62	(90, 72)	(90, 72)	0.000	0.761
0	0	63	(89, 72)	(89, 72)	0.000	0.952
0	0	64	(89, 72)	(89, 72)	0.000	0.984
0	0	65	(88, 72)	(88, 72)	0.000	0.979
0	0	66	(87, 72)	(87, 72)	0.000	0.893
0	0	67	(87, 71)	(87, 71)	0.000	0.986
0	0	68	(88, 71)	(88, 71)	0.000	0.980
0	0	69	(88, 70)	(88, 70)	0.000	0.993
0	0	70	(88, 69)	(88, 69)	0.000	0.895
0	0	71	(88, 68)	(88, 68)	0.000	0.987
0	0	72	(88, 68)	(88, 67)	1.000	0.309
0	0	73	(89, 68)	(89, 67)	1.000	0.287
0	0	74	(90, 67)	(89, 67)	1.000	0.066
0	0	75	(90, 66)	(89, 66)	1.000	0.097
0	0	76	(90, 65)	(89, 65)	1.000	0.102
0	0	77	(90, 65)	(90, 65)	0.000	0.709
0	0	78	(91, 65)	(91, 65)	0.000	0.656
0	0	79	(91, 64)	(91, 64)	0.000	0.766
0	0	80	(92, 64)	(92, 64)	0.000	0.882
0	0	81	(92, 65)	(92, 65)	0.000	0.891
0	0	82	(93, 65)	(93, 65)	0.000	0.790
0	0	83	(93, 64)	(93, 64)	0.000	0.882
0	0	84	(94, 64)	(94, 64)	0.000	0.980
0	0	85	(94, 65)	(94, 65)	0.000	0.992
0	0	86	(94, 65)	(94, 65)	0.000	0.662
